Marca temporal,respondent_id,Sexo,Edad,Estudios,Ingresos mensuales brutos del hogar,Clase Social,CCAA,brand,awareness,sentiment,differentiation,brand_image,awareness_audio,main_audio,awareness_index_base,sentiment_index_base,differentiation_index_base,awareness_promptv1_gpt,sentiment_promptv1_gpt,differentiation_promptv1_gpt,overall_promptv1_gpt,awareness_promptv1_claude,sentiment_promptv1_claude,differentiation_promptv1_claude,overall_promptv1_claude,awareness_promptv1_mistral,sentiment_promptv1_mistral,differentiation_promptv1_mistral,overall_promptv1_mistral,awareness_promptv2_gpt,sentiment_promptv2_gpt,differentiation_promptv2_gpt,overall_promptv2_gpt,awareness_promptv2_claude,sentiment_promptv2_claude,differentiation_promptv2_claude,overall_promptv2_claude,awareness_promptv2_mistral,sentiment_promptv2_mistral,differentiation_promptv2_mistral,overall_promptv2_mistral
2025-05-05T16:53:40Z,13,Mujer,18-27 años,Universitarios,Menos de 2000€,Media,Castilla-La Mancha,CaixaBank,4,4,4,4,"Santander, ING, Caxabán",Este banco no me hace sentir nada porque no he sido cliente de este banco y luego diferencia entre bancos pues sería que su logo es más llamativo que los otros bancos y otras cosas no sería capaz de decir y tercero la imagen de la marca del banco pues no he oído nada malo sobre este banco,2,4,7,5,4,3,4,5,4,3,4,5,3,4,4,3,3,2,3,5,4,3,4,3,1,2,3
2025-05-05T18:17:55Z,15,Hombre,18-27 años,Universitarios,Menos de 2000€,Media,Madrid (Comunidad de Madrid),BBVA,7,7,5,6,"BBVA, Ibercaja, La Caixa.","¿Qué te hace sentir BBVA? Siendo sincero, yo soy usuario de este banco y básicamente lo uso porque mis padres lo usan. Aunque al estar como BBVA durante un tiempo, siento que es un banco que transmite confianza, tiene un personal agradable y está distribuido por todas partes, por lo que me transmite paz, simpatía y seguridad. ¿En qué aspectos crees que BBVA se diferencia de otras compañías bancarias? Pues en la rapidez que se realizan los bitums y las transacciones. La aplicación es muy fácil de usar y además, en mi opinión, BBVA se caracteriza por tener una elevada solvencia y rentabilidad. Además, en caso de pérdida o robo de tarjeta, solo necesitas 5 segundos para cancelarla y una semana para que te llegue una nueva. Y en cuanto a la opinión de las imágenes de marca de BBVA, yo percibo que la imagen de marca de BBVA es moderna, sólida y global. Su color azul me transmite esa calma y confianza. Y además, yo creo que lo que más destaca BBVA es su énfasis en la innovación tecnológica y en las ayudas a las personas para tomar mejores decisiones financieras.",6,4,4,6,6,6,6,7,6,6,6,7,6,6,6,5,6,6,6,7,6,6,6,7,6,6,6
2025-05-05T22:01:42Z,16,Hombre,18-27 años,Universitarios,De 3000 a 3999€,Media,Madrid (Comunidad de Madrid),BBVA,7,5,4,5,"Santander, CaixaBank, Sabadell, BBVA, ING.","Bueno, el banco BBVA es, por así decirlo, uno de los grandes bancos de España, de los más conocidos. Y lo que diferencia a otras compañías lo desconozco porque yo soy del Banco Santander. Y en cuanto a la imagen de la marca BBVA, pues me acuerdo que hace unos años patrocinaba la Liga y a partir de ahí se hizo bastante popular. Bueno, en mi caso yo conocí ese banco.",2,3,5,6,4,2,4,6,4,2,4,5,4,2,4,5,3,2,3,6,4,3,4,5,3,2,3
2025-05-05T22:37:09Z,17,Mujer,18-27 años,Universitarios,De 3000 a 3999€,Media,Madrid (Comunidad de Madrid),CaixaBank,5,5,4,5,"Los bancos de los que más escucho son el Santander, CaixaBank e ING.","La Caixa es el banco en el que estoy actualmente y la verdad es que no me inspira desconfianza tampoco porque al menos la experiencia que yo he tenido de trato es bastante cercana. Sí que es verdad que yo al tener una cuenta joven pues no me cobran comisión y pues puedo disfrutar de unas ciertas ventajas con respecto a otros clientes y creo que también eso es algo que le diferencia a otras entidades bancarias porque al final no todos tienen ese tipo de política con respecto a sus clientes entonces yo creo que eso es algo positivo. Y la imagen que dan es como de un banco sostenible que intenta ser como lo más cercano al cliente y beneficiarlo, que tiene como una política de préstamo también como para animarte a que te unas pero al final yo creo que eso es algo espiritual. Es una publicidad que hacen todos los bancos como para que deposites ahí tu dinero. Entonces no me inspira desconfianza pero tampoco creo que haya que fiarse completamente.",2,3,4,6,5,4,5,6,5,5,5,6,5,6,6,6,4,5,5,6,5,6,5,6,5,5,5
2025-05-05T23:34:37Z,18,Mujer,18-27 años,Medios,A partir de 4000€,Media,Madrid (Comunidad de Madrid),BBVA,6,4,5,5,"En mi día a día de los bancos que más oigo serían la Caixa, ING, BBVA y Santander.","Vale, pues el BBVA como banco me hace sentir que es un banco confiable, porque es uno de los más grandes bancos, al menos que usamos en España. Y al final, que sea tan grande da como mucha estabilidad y confianza en el sentido de que probablemente no vaya a quebrar, entonces pues confías en dejar el dinero ahí. Luego, pues en qué se diferencia con otras, pues sobre todo en eso, en que es grande, en que eso hace sentir confiable y que... No lo sé. Yo creo que eso sobre todo. Y luego, con respecto a la imagen de marca, pues no la tengo muy localizada. No es un banco que suele hacer muchos anuncios, al menos que yo haya visto, ni mucha propaganda. Entonces, bueno, sí es verdad que tiene un logo muy característico y que todo el mundo tenemos en mente. Y los colores también de la marca, pero más allá de eso, sabemos que está... Sabemos que está... Pero tampoco... Se hacen mucho de notar.",2,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5,6,5,4,5
2025-05-06T19:01:01Z,19,Mujer,28-37 años,Universitarios,De 2000 a 2999€,Media,Madrid (Comunidad de Madrid),CaixaBank,6,4,5,6,"Los 3 a 5 bancos de los cuales más escucho cada día son Caixa, Evo, Trade Republic y creo que ING Directa.","Banco asignado Skysha Bank, casualmente es mi banco, con lo cual me hace sentir seguridad y confianza porque es el banco donde llevo toda la vida, entonces pues conozco bien a mi gestor, me gusta la aplicación, me parece que la aplicación es muy intuitiva, es muy fácil utilizarla. No creo que sea el banco que me da más beneficios, me parece que tiene creo mejores planes de cuentas remuneradas y demás, pero bueno, como llevo tantos años yo estoy muy cómoda en ese banco, creo que se diferencia de otros en que pues no sé, tiene como una imagen muy consolidada, estás muy acostumbrado a ver la caixa en todas partes, tiene muchos cajeros, da la sensación de que vas a poder sacar dinero de la caixa en cualquier parte. Y ya.",2,4,5,6,5,4,5,7,6,5,6,6,5,4,5,6,5,4,5,7,6,5,6,6,5,5,5
2025-05-06T21:48:19Z,20,Mujer,18-27 años,Universitarios,A partir de 4000€,Media,Madrid (Comunidad de Madrid),BBVA,1,1,1,1,La Caixa BBVA Unicaja LiberBank Santander,"Yo no tengo una cuenta bancaria como BBVA y tampoco he pensado tenerla, ya que he escuchado a otras personas decir que tratan diferente a personas según su nacionalidad.",3,4,6,6,2,3,2,6,2,1,2,7,2,4,4,6,2,2,3,6,2,3,3,5,2,3,3
2025-05-07T16:45:01Z,21,Mujer,18-27 años,Universitarios,Menos de 2000€,Media,Cataluña (Catalunya),CaixaBank,5,6,6,6,"La caixa BBVA Sabadell, Revolut ING.","La cuenta de CaixaBank me hace sentir estar cómoda porque tiene cajeros, muchos cajeros distribuidos por toda la ciudad de Barcelona y creo que es la más común de aquí, por tanto puedes hacer gestiones desde cualquier parte de la ciudad. Por otro lado, no sé en concreto en qué se diferencia de otras compañías, pero yo creo que la cuenta de Imagine que tienen es bastante común y útil para estudiantes que no tenemos ingresos como tal, por lo que se nos hace difícil de crear una cuenta bancaria. Y otra parte que tampoco pide costes adicionales para mantener la cuenta. Finalmente, yo creo que la imagen de CaixaBank es bastante buena y prestigiosa, digamos, porque ya que es catalana la empresa, es bastante común y la gente lo utiliza mucho.",5,4,4,6,6,4,6,7,6,5,6,6,7,5,7,6,5,4,5,7,6,5,6,6,5,4,6
2025-05-08T18:20:30Z,23,Mujer,18-27 años,Universitarios,De 3000 a 3999€,Baja,Madrid (Comunidad de Madrid),BBVA,4,2,4,3,"Los bancos que más escucho en mi día a día yo diría que son Santander, BBVA, La Caixa, Sabadell quizás.","El banco que se me ha asignado es BBVA. Yo la verdad que no sé mucho sobre bancos, entonces, ¿qué me hace sentir? Pues la verdad que no tengo ningún sentimiento fuertemente asociado a BBVA. En general diría que no tengo una imagen super positiva de la banca. Luego, ¿en qué siento que se diferencia de otros? De nuevo, no lo sé porque tengo muy pocos conocimientos sobre los distintos bancos más allá del mío. Y sobre su imagen de marca, pues de nuevo no tengo mucha idea. Lo último que he escuchado sobre el BBVA es este tercero. Y es lo único que conozco así un poco sobre él.",2,3,6,5,3,2,3,6,3,2,3,6,3,2,3,5,3,2,3,6,3,2,3,5,3,2,3
2025-05-08T20:08:40Z,24,Hombre,18-27 años,Universitarios,Menos de 2000€,Baja,Cataluña (Catalunya),BBVA,5,5,4,6,"La Caixa, BBVA, Ibercaja, Santander.","Bueno, me parece buena marca. Bueno, no conozco muchos más bancos que, aparte de BBVA y también la Caixa, pero creo que a diferencia de otros, pues proporciona bastantes servicios. Bueno, sus servicios son bastante completos y estoy bastante satisfecho. Bueno, y al final, pues, la imagen de la marca, pues, bueno, me parece bien.",2,6,5,6,5,4,5,6,5,4,5,7,6,5,6,5,4,4,4,6,5,4,5,6,5,5,6
2025-05-08T23:56:52Z,25,Mujer,18-27 años,Medios,Menos de 2000€,Media,Extremadura,CaixaBank,6,3,4,6,"BBVA Santander, CaixaBank, Sabadell y Vercaja.","CaixaBank me da la sensación de ser un banco muy antiguo, con mucha historia, y eso puede parecer que no es tan innovador que otros bancos más modernos. Aspectos. Al haberse fusionado con Bankia puede ser que está más extendido que otros bancos, pero su trato creo que ha empeorado. Y acerca de su logotipo y marca, me gusta mucho su imagen, un símbolo de estrella gigante que parece proteger a dos esferas muy pequeñas. Da la impresión de seguridad y cuidado.",2,3,6,6,4,3,4,6,4,3,5,6,4,5,5,6,4,4,5,6,4,5,5,5,4,5,4
2025-05-10T11:32:22Z,26,Mujer,18-27 años,Medios,Menos de 2000€,Media,Cataluña (Catalunya),BBVA,6,4,4,5,"La CaixaBank, BBVA, Santander... ya está.","Para responder la primera pregunta, de qué me hace sentir BBVA, es que la verdad no estoy con BBVA, pues no conozco mucho esta marca de banco, pero lo que me hace sentir es como un banco bastante conocido en España, bastante popular, hay un montón de locales de banco de BBVA. Y la siguiente pregunta, de qué hace diferencia con otros bancos, pues creo que con la reforma que tiene, la imagen de la marca, creo que quiere transmitir una sensación de confianza, de serio, es como un banco más serio, que te da confianza, responsabilidad, así. También es como más moderno, con la digitalización de los app, todas esas cosas. Y la imagen de la marca, bueno, es lo que he dicho antes, pues es como un banco más serio, más... más está por las cosas que hacen, que transmite confianza, y ya está.",2,4,5,6,4,5,5,6,5,5,5,6,5,6,6,5,4,4,4,6,4,5,5,5,4,5,5
2025-05-10T12:26:30Z,27,Hombre,18-27 años,Universitarios,A partir de 4000€,Media,Cataluña (Catalunya),CaixaBank,3,2,4,4,"BBVA Santander, la caixa Sabadell.","La Caixa es un banco que siempre ha estado alrededor mío, cerca de donde vivo en Barcelona hay muchas La Caixas y están por todas partes. Actualmente no soy cliente de La Caixa así que no puedo opinar mucho sobre lo que siento de este banco, pero sí que fui cliente de La Caixa una vez y no tuve muy buena experiencia con algunos servicios que ofrecieron. ¿Cómo se diferencia la CaixaBank? La verdad es que CaixaBank hace unos años hizo unas reformas a las oficinas y aparentemente son más agradables y ofrecen café y agua a los clientes y también veo mucha gente mayor que atiende este banco, así que creo que también dan una muy buena imagen a los clientes y al público, solo que mi experiencia personal no ha sido muy buena.",2,4,4,6,3,4,4,6,3,5,4,6,3,5,4,5,3,4,3,6,3,5,4,5,3,4,4
2025-05-10T12:56:31Z,28,Mujer,18-27 años,Universitarios,Menos de 2000€,Media,Madrid (Comunidad de Madrid),BBVA,5,5,6,6,"Pues los bancos que más escucho normalmente a diario pueden ser Santander, CaixaBank y BBVA.","Pues sobre la primera pregunta de qué me hace sentir BBVA, creo que es un banco que transmite un poco una sensación de modernidad, especialmente sobre todo porque es un banco que ha tratado de posicionarse especialmente como cercano al público en varios sentidos, cercano a los clientes. Creo que tiene una relación cercana con los clientes y actualmente ha tenido un cambio de identidad con anteriormente sobre la banca online, digital y creo que la experiencia del cliente ha mejorado bastante en ese sentido. Después creo que sobre la segunda pregunta, en qué aspectos crees que BBVA se diferencia de otras compañías, creo que es principalmente por el tema que mencionaba anteriormente, la cercanía a las personas, porque me llama mucho la atención todo el tema que tiene BBVA de las charlas que da, no sé ahora mismo el nombre de estas, pero hay muchos vídeos en internet sobre muchos temas, ya sean temas sociales, temas más de banca, temas económicos, cualquier tipo de temática, que suben vídeos bastante interesantes y que por ejemplo personalmente no soy cliente de BBVA, pero que aún así te los ves porque son temas que interesan, y además hace que confíes en la marca más que en otras, porque al ser más cercano con clientes y no clientes, y se hace sobre todo más presente entre las personas. Por tanto, sobre qué opino sobre la imagen de marca de BBVA, me parece que están haciendo un muy buen trabajo, porque tienen una marca de imagen bastante sólida, además de global. Creo que dentro de España es de las marcas con mejor reputación y tienen un enfoque que me gusta bastante sobre las universidades, y también tienen una percepción bastante positiva de clientes, además de empleados, de personas que conozco que trabajan en BBVA, están muy contentos y tienen una identidad bastante fuerte.",2,4,5,6,6,6,6,6,6,6,6,7,6,6,7,5,6,6,6,6,6,6,6,7,6,6,6
2025-05-12T09:41:32Z,29,Mujer,18-27 años,Universitarios,Menos de 2000€,Media,Cataluña (Catalunya),CaixaBank,7,5,3,5,"BBVA, Santander, CaixaBank, Ibercaja, Laboral, Kutscha y ya está.","Creo que CaixaBank es un banco muy popular, bastante moderno y el servicio está bien. Creo que se diferencia, bueno como que es mi banco desde cuando era muy pequeña, yo creo que se diferencia por su popularidad. La imagen de marca, yo creo que la imagen está bien. Sí, aunque las reseñas en Google normalmente son muy malas, pero bueno, todos los bancos tienen esta reseña. Ah sí, los chinos opinan que CaixaBank es muy difícil de abrir cuenta ahora mismo. Y sobre todo restringen a los chinos. No sé si es verdad, pero bueno, eso es el rumor.",2,4,5,6,4,3,4,6,5,4,5,6,5,4,5,6,3,4,4,6,5,4,5,6,5,5,5
2025-05-12T20:57:16Z,30,Mujer,28-37 años,Universitarios,Menos de 2000€,Baja,Madrid (Comunidad de Madrid),CaixaBank,2,4,1,4,BBVA Santander y CaixaBank,y para ser honesta no conozco a caixa bank tanto uso él el banco que tengo no me he dedicado a conocer los otros bancos tanto así entonces que me siento sentimiento hacia el banco hacia caixa bank es muy neutro igual que como no lo conozco tanto no siento nada sobre la imagen de marca o cómo se hace diferente diferencia contra santander vamos a decir,2,4,6,6,3,2,3,6,4,2,3,5,1,1,2,5,3,2,3,6,4,3,4,5,4,3,4
2025-05-12T21:12:47Z,31,Hombre,18-27 años,Universitarios,Menos de 2000€,Media,Madrid (Comunidad de Madrid),BBVA,6,5,6,7,"Pues ahora mismo, al encontrarme trabajando en el banco, te diría que Ibercaja, luego iríamos con el Santander, la Caixa, BBVA y porque tengo cerca también, pues ahora mismo el Banco Mars.","Vale, respecto a esta pregunta, bueno, te lo voy respondiendo por enumeración. La primera, ¿qué te hace sentir BBVA? En general, bueno, para mí personalmente es un banco que utilizo en mi día a día y también mis padres son clientes de este banco, por lo tanto yo lo asocio más a un sentimiento familiar. También puede ser que porque como he tenido que ir con mis padres a la sucursal para hacer gestiones, pues entonces sí que lo tomas como un banco familiar. Respecto a la segunda pregunta, yo creo que en lo principal se diferencia en su interfaz de usuario en la aplicación porque siendo cliente y habiendo tenido bastantes, digamos, clientes de ser bastante blancos, yo siempre he comentado que es un modelo a seguir. Es una interfaz muy fácil de utilizar, muy intuitiva y muy buena y casi nunca, nunca tiene fallos, o sea que muy bien. Y finalmente, lo que opino de la imagen de la marca es que, bueno, que es una marca muy potenciada, una marca que ya lleva un recorrido y sobre todo con la apuesta que ha tenido recientemente con las tecnologías, con las criptomonedas y básicamente ver cómo tiene una acción tecnológica en el banco es algo que deberían apostar todos, incluido en el que trabajo yo. Así que es una cosa que... Yo creo que es una marca muy potente y sobre todo asociado a la tecnología. Vaya.",2,4,4,5,6,6,6,6,6,7,6,5,6,7,6,6,5,5,5,6,5,6,6,6,5,6,6
2025-05-12T21:14:29Z,32,Hombre,18-27 años,Universitarios,A partir de 4000€,Media,Cataluña (Catalunya),CaixaBank,5,5,7,6,"La Caixa, Banco Santander, Banco Sabadell y BBVA.","¿Qué te hace sentir CasaBank? Pues principalmente que es un banco bastante completo. Aparte de los servicios esenciales, recuerdo que de pequeño tenía la libreta de los Super 3, que eso creo que marcó la diferencia. Y ahora al crecer realmente yo creo que se diferencia principalmente por el carnet joven, que te dan una serie de descuentos, muchos eventos y eso en otros bancos no. Y por último, ¿qué opinas de la imagen de CasaBank? CasaBank, bastante bien. No recuerdo que haya hecho ninguna decisión, así que afecte a sus usuarios, así que muy positiva en realidad.",5,4,5,4,6,5,6,7,6,6,6,7,6,7,7,5,5,5,5,7,6,6,6,7,6,6,6
2025-05-13T08:48:15Z,33,Mujer,18-27 años,Universitarios,Menos de 2000€,Media,Castilla-La Mancha,BBVA,7,5,4,5,"Los bancos que más escucho son BBVA, CaixaBank y Santander.","Bueno, considero que BBVA tiene una imagen de marca muy potente y que transmite mucha seguridad a los usuarios, incluso a los usuarios que no son del propio banco, por lo que creo que su imagen de marca es muy potente. Además, me hace sentir seguridad como usuario. Es verdad que es un banco que no he utilizado y del que no soy consumidora, pero considero que transmite mucha seguridad y tiene muy buena publicidad también. Y creo que en esto también se diferencia del resto de entidades bancarias porque prestan mucha atención a la publicidad y a transmitir la seguridad de sus competidores y también a transmitir que es un banco que a nivel internacional tiene más repercusión.",6,4,5,7,6,5,6,7,6,6,6,7,6,6,6,5,5,5,5,7,6,6,6,7,5,6,6
2025-05-15T20:36:52Z,34,Mujer,18-27 años,Universitarios,De 2000 a 2999€,Media,Madrid (Comunidad de Madrid),BBVA,7,7,6,7,"Los tres nombres de bancos que más suelo escuchar son CaixaBank, BBVA y Santander.","A mí personalmente BBVA me transmite mucha confianza y mucha seguridad. Diría que se diferencia del resto de bancos sobre todo por su compromiso con el cliente, buscando siempre lo mejor para él y buscando la manera de transformarse y mejorar e innovar. Esto se puede ver como por ejemplo gracias a las tarjetas Aqua que sacaron que no tiene el número impreso de la cuenta, simplemente el nombre, algo que garantiza la seguridad de la persona que lo lleva que en caso de pérdida puede cancelar esa tarjeta desde el móvil y la persona que encuentra la tarjeta no tiene ni el número de cuenta ni nada. Y por último diría que la imagen de marca creo que está muy bien trabajada. Ya que con unas simples letras y el color azul siempre se asocia a BBVA, lo que sí que diría es que realmente las siglas poca gente conoce a lo que se refiere. Esta es la única falla, porque por ejemplo el banco Santander es Santanderilla pero BBVA tiene un significado detrás que creo que poca gente conoce.",2,2,3,6,7,6,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6
